id,name,founded_year,website,facebook,instagram,linkedin,contact_phone,bio,head_office_location,total_residential_projects,total_commercial_projects,is_active,sort,deleted_at,created_at,updated_at,total_projects_count
330,"{""ar"": ""بيت البحر"", ""en"": ""Beit Al Bahr""}",NULL,https://beitalbahr.com/,https://www.facebook.com/beitalbahr?mibextid=LQQJ4d,https://www.instagram.com/beitalbahr?igsh=M2VycnYycjA1YTJu,https://www.linkedin.com/company/beit-al-bahr/,19234,"{""ar"": ""بيت البحر مشروع سكني شاطئي على مخطط رئيسي يمتد نحو أربعمائة وخمسين فدانًا ويشمل شاطئًا خاصًا بطول ثلاثة كيلومترات ونصف. ينفذه تحالف مطورين باسم BAM ويضم عدة مراحل سكنية مثل إيست باي، روتس 01/02/03، شورز، رايز وهيلز. للاشتراكات والاستفسارات والمبيعات يتوفر الخط الساخن 19234 كما لدى المشروع حضور رسمي على لينكدإن وإنستاجرام وفيسبوك."", ""en"": ""Beit Al Bahr is a beachfront real estate development on a roughly 450-acre masterplan that includes a private 3.5 km beach. The development is being delivered by a developer joint venture (BAM) and is organised into multiple residential phases including East Bay, Roots 01/02/03, Shores, Rays and Hills. Sales and enquiries are routed through the project hotline 19234 and the development maintains official profiles on LinkedIn, Instagram and Facebook.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,7
333,"{""ar"": ""هوم تاون ديفيلوبمنتس"", ""en"": ""Hometown Developments""}",2017,http://Hometowneg.com,https://www.facebook.com/hometowneg/,https://www.instagram.com/hometowndevelopments/,https://www.linkedin.com/company/hometowneg,19992,"{""ar"": ""تأسست شركة هوم تاون ديفيلوبمنتس في عام 2017، وهي مطور عقاري مصري يتميز بمحفظة مشاريع متنوعة. يقع المقر الرئيسي للشركة في القاهرة الجديدة بمصر، وقد قامت بتسليم مجموعة من المشاريع بنجاح تشمل المجمعات السكنية والمراكز التجارية. تركز الشركة على توفير مساحات فاخرة تعزز الشعور بالانتماء، وتتواصل بفعالية مع عملائها عبر قنواتها الرقمية الرسمية."", ""en"": ""Hometown Developments, established in 2017, is an Egyptian real estate developer known for its diverse portfolio. The companys head office is located in New Cairo, Egypt, and it has successfully delivered a range of projects including residential compounds and commercial malls. With a focus on creating luxurious and belonging spaces, Hometown Developments actively engages with its clients through official digital channels.""}","Villa 66 El Narges 3, New Cairo, Cairo 11311, Egypt",2,3,1,0,NULL,1/10/2026 12:38,NULL,5
334,"{""ar"": ""دلتا كريستالز"", ""en"": ""Delta Crystals""}",NULL,http://delta-reid.com/,https://www.facebook.com/DeltaCrystals/about,NULL,NULL,+20 11 58901002,"{""ar"": ""دلتا كريستالز هي علامة تجارية تابعة لشركة دلتا للتطوير والاستثمار العقاري في مصر. مشروعها الرائد، كريستالز نورث كوست، يقع في الكيلو 258 بالساحل الشمالي بجوار ألماظة باي وسميرالدا، ويمتد على مساحة 50 فدانًا. تُعد الشركة من الكيانات الرائدة في قطاع العقارات المصري."", ""en"": ""Delta Crystals is a brand under Delta Real Estate / Delta Development, specializing in real estate investment and development in Egypt. Their flagship project, Crystals North Coast, is located at kilo 258 next to Almaza Bay and Smeralda, spanning 50 acres. The company is recognized as a leading entity in the Egyptian real estate sector.""}","38 Syria street, El Mohandesin, Giza",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
335,"{""ar"": ""وينفستور ديفيلوبمنتس"", ""en"": ""Winvestor Developments""}",2020,https://www.winvestordevelopments.com/,NULL,https://www.instagram.com/winvestor.eg/,https://www.linkedin.com/company/winvestor-developments,17106,"{""ar"": ""وينفستور ديفيلوبمنتس هي شركة مساهمة مصرية سعودية، تأسست بالشراكة بين آي إم إس للتطوير وإدارة المشاريع وشركة المناور للمقاولات. تكرس الشركة جهودها لإحداث ثورة في قطاع التطوير العقاري من خلال تطبيق المعايير الدولية والتفكير الابتكاري في جميع مشاريعها. وتهدف إلى تقديم تطويرات عقارية عالية الجودة تلبي المعايير العالمية باستمرار."", ""en"": ""Winvestor Developments is an Egyptian-Saudi joint-stock company established through a partnership between IMS Development and Project Management and Al-Manawer Contracting Company. The firm is dedicated to revolutionizing the real estate industry by implementing international standards and innovative thinking across its projects. It aims to deliver high-quality real estate developments that consistently meet global benchmarks.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,2
338,"{""ar"": ""تالات موستافا جروب"", ""en"": ""Talaat Moustafa Group""}",1970,https://talaatmoustafa.com/,https://www.facebook.com/Talaat.moustafa.group,https://www.instagram.com/talaatmoustafagroup/,https://www.linkedin.com/company/talaatmoustafagroup,+20 19691,"{""ar"": ""مجموعة طلعت مصطفى (TMG) هي أكبر شركة تطوير عقاري مُدرجة في مصر، متخصِّصة في إنشاء مجتمعات سكنية متكاملة ومشروعات فندقية على نطاق واسع في أنحاء الدولة. تمتلك المجموعة أكثر من خمسين عاماً من الخبرة وحقلاً أمضياً يمتد لعشرات الملايين من الأمتار المربعة، ويشمل ملفها مدناً مخططة مثل مدينتي، الرحاب، سيليا، مدينة نور الذكية وممشروعات ساحلية مثل فيرجينيا بيتش وساوث ميد. تُدير المجموعة أيضاً ممحفظة ضيافة تضم فنادق فورسيزونز وكمبينسكي، ومقرها الرئيسي في الدقي - الجيزة، وتعرض معلومات الاتصال والمشروعات على موقعها الرسمي talaatmoustafa.com."", ""en"": ""Talaat Moustafa Group (TMG) is Egypts largest listed real estate developer, specializing in large-scale integrated residential communities and hospitality projects across the country. With over 50 years of experience and a land bank of tens of millions of square meters, TMGs portfolio includes masterplanned cities such as Madinaty, Al Rehab, Celia, Noor Smart City and coastal developments like Virginia Beach and SouthMED. The group also operates a hospitality portfolio (Four Seasons, Kempinski), maintains headquarters in Dokki, Giza, and publishes contact and project information on its official site talaatmoustafa.com.""}","34/36 Musadak St., Dokki, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,10
339,"{""ar"": ""سنتري سيتي"", ""en"": ""Century City""}",NULL,https://centurycity-eg.com/,https://www.facebook.com/CenturyCityeg,NULL,NULL,1061820706,"{""ar"": ""سنتري سيتي هو مجمع سكني يقع في التجمع الخامس بالقاهرة الجديدة، وقد تم تطويره بواسطة شركة كونتري هومز للتطوير، وهي شركة تابعة لفانتج للتطوير العمراني. يمتد المشروع على مساحة 12 فدانًا، حيث خصص 25% منها للمباني والباقي للمساحات الخضراء والمناظر الطبيعية. يوفر المجمع أكثر من 500 وحدة سكنية، تشمل الشقق والدوبلكس والبنتهاوس، مقدمًا نمط حياة فاخرًا مع مجموعة متنوعة من الخدمات والمرافق."", ""en"": ""Century City is a residential compound located in New Cairos Fifth Settlement, developed by Country Homes Development, a subsidiary of Vantage Urban Developments. The project spans 12 feddans, with 25% dedicated to buildings and the remainder to green spaces. It offers over 500 residential units, including apartments, duplexes, and penthouses, providing a luxurious lifestyle with various services and facilities.""}","Ground floor, building 233- Part 2 -5th Settlement , New Cairo, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
340,"{""ar"": ""داماك لإدارة المشاريع والتطوير العقاري"", ""en"": ""Damac For Project Management & Real Estate Development""}",2020,https://damacrealestate.co/,https://www.facebook.com/Damac.Dev/,https://www.instagram.com/damac_for_project_management/,https://www.linkedin.com/company/damacrealestate/,+20 1093968508,"{""ar"": ""داماك لإدارة المشاريع والتطوير العقاري هي شركة عقارية رائدة تعمل في مصر. تأسست الشركة عام 2020، وتقدم خدمات عالية الجودة في إدارة المشاريع والتطوير العقاري. يقع مقرها الرئيسي في القاهرة، ولها فرع إضافي في الإسكندرية."", ""en"": ""Damac For Project Management & Real Estate Development is a premier real estate company operating in Egypt. Founded in 2020, the company provides top-notch services in project management and real estate development. Its head office is located in Cairo, with an additional branch in Alexandria.""}","92 Makram Ebbeid, Nasr City, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
344,"{""ar"": ""المهندسون المتحدون"", ""en"": ""United Engineers""}",1995,https://unitedengineers-eg.com/,https://www.facebook.com/United.Engineers.eg,https://www.instagram.com/united1engineer/,https://eg.linkedin.com/company/ueeegypt,+20 10 22277721,"{""ar"": ""المهندسون المتحدون هي شركة مصرية رائدة في تطوير العقارات، تتمتع بخبرة تزيد عن عقدين واستثمارات تتجاوز مليار جنيه مصري. تتخصص الشركة في محفظة متنوعة من المشاريع الساحلية والتجارية والسكنية، مدفوعة بالتزامها بالجودة ورضا العملاء. تهدف الشركة إلى إعادة تعريف معايير العقارات في مصر من خلال تقديم مشاريع ذات تصاميم حديثة وبناء ممتاز، مما يوفر قيمة حقيقية للمجتمع."", ""en"": ""United Engineers is a leading Egyptian real estate development company with over two decades of experience and investments surpassing EGP 1 billion. They specialize in a diverse portfolio of coastal, commercial, and residential projects, driven by a commitment to quality and client satisfaction. The company aims to redefine real estate standards in Egypt by delivering projects with modern designs and excellent construction, providing genuine value to the community.""}","201 Street 26 July, Mohandessin, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
346,"{""ar"": ""شركة اف اس جي للتطوير العقاري"", ""en"": ""FSG Real Estate Development Company""}",2012,https://fsg-eg.com/,https://www.facebook.com/fsg.developments,https://www.instagram.com/fsg.development,https://www.linkedin.com/company/fsgdevelopments,15792,"{""ar"": ""تعد شركة اف اس جي للتطوير العقاري من أبرز المطورين العقاريين في مصر، وتشتهر بمشاريعها الإنشائية الكبيرة ومشاريع الإسكان الفاخرة في مناطق رئيسية مثل مدينة العبور والتجمع الخامس والعاصمة الإدارية الجديدة. تأسست الشركة عام 2012، ولديها تاريخ حافل في تنفيذ مشاريع متنوعة تشمل المجمعات السكنية والمراكز التجارية. تستثمر اف اس جي بنشاط في التطورات العمرانية الجديدة وتتعاون مع شركاء مثل أركريت للتخطيط الهندسي، مما يضمن تنفيذ المشاريع بجودة عالية."", ""en"": ""FSG Real Estate Development Company is a prominent Egyptian real estate developer, recognized for its substantial constructions and luxury housing projects across key areas like Obour City, Fifth Settlement, and the New Administrative Capital. Established in 2012, the company has a history of implementing diverse projects, including residential compounds and commercial malls. FSG actively invests in new urban developments and collaborates with partners like Arcrete for engineering planning, ensuring high-quality project execution.""}","4 Delta tower - nasr road Cairo, Cairo Governorate, Egypt 11711",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
347,"{""ar"": ""إيجل جروب"", ""en"": ""Eagle Group""}",2009,http://www.eaglegroup-eg.com,https://www.facebook.com/EagleRealEstates,https://www.instagram.com/eaglegroupegy,https://www.linkedin.com/company/eaglegroupegy,+20 15878,"{""ar"": ""إيجل جروب هي شركة عقارية مصرية تأسست عام 2009، متخصصة في أعمال المقاولات والخرسانة. قامت الشركة بتطوير العديد من المشاريع في جميع أنحاء مصر، بما في ذلك المراكز التجارية والمجمعات السكنية في مناطق مثل الشروق ومدينة بدر. تضم محفظة مشاريعها تطورات مثل إيجل مول، إيجل هب، إيجل بلازا، وكمبوند هيفن جاردنز القاهرة الجديدة."", ""en"": ""Eagle Group is an Egyptian real estate company established in 2009, specializing in contracting and concrete works. The company has developed several projects across Egypt, including commercial malls and residential compounds in areas like El Shorouk and Badr City. Their portfolio features developments such as Eagle Mall, Eagle Hub, Eagle Plaza, and the Heaven Gardens New Cairo compound.""}","No. 7 - Block 1258 , Beside Suncity Mall , Sheraton, Sheraton El Matar, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,5
349,"{""ar"": ""حياة للتطوير"", ""en"": ""Hayah Developments""}",NULL,https://a-hayah.com/,https://www.facebook.com/hayahdevelopments/,https://www.instagram.com/hayahdevelopments/,https://www.linkedin.com/company/hayahdevelopments/,2.01E+11,"{""ar"": ""تعتبر حياة للتطوير العقاري إحدى الشركات الرائدة في مجال التطوير والتسويق العقاري بمصر، بخبرة تزيد عن 17 عامًا في السوق المصري. تأسست الشركة عام 2009، وتستفيد من قدراتها الفنية وكوادرها الهندسية الماهرة لتقديم مشاريع عالية الجودة. تتخصص في تطوير الأراضي بمحافظات مصرية رئيسية مثل أكتوبر والشيخ زايد، وتقدم خدمات شاملة بدءًا من التصميم وحتى خدمات ما بعد البيع."", ""en"": ""Hayah Developments is a leading Egyptian real estate developer and marketer with over 17 years of experience in the market. Established in 2009, the company leverages its technical capabilities and skilled engineering staff to deliver high-quality projects. They specialize in land development in key Egyptian governorates like October and Sheikh Zayed, offering comprehensive services from design to after-sales support.""}","El Sheikh Zayad, Beverly hills, Polygon business building, Gate No5 4th floor, El Sheikh Zayed, Giza, Egypt 12588",0,0,1,0,NULL,1/10/2026 12:38,NULL,6
351,"{""ar"": ""ون أوف ون"", ""en"": ""One of One""}",2025,https://www.oneofone.com.eg/,https://www.facebook.com/profile.php?id=61574817973761,https://www.instagram.com/oneofonedevelopments,https://www.linkedin.com/company/oneofonedevelopments,1272723222,"{""ar"": ""تأسست شركة ون أوف ون في عام 2025 كمطور عقاري مصري يركّز على التصميم المحوري للإنسان والاستدامة والابتكار. تعمل الشركة على تطوير مخططات ومشروعات سكنية واختلاطية عبر القاهرة الكبرى، وانطلقت بمحفظة أولية مكونة من أربعة قطع أراضٍ استراتيجية في شرق وغرب القاهرة. تهدف ون أوف ون إلى خلق قيمة دائمة للسكان والمجتمعات من خلال تصميم واعٍ وممارسات مستدامة."", ""en"": ""Founded in 2025, One of One is an Egyptian real estate developer focused on people-centric design, sustainability and innovation. The company develops masterplans and projects across Greater Cairo, launching with an initial portfolio of four strategic land plots in East and West Cairo. Its work emphasizes long-term value creation for residents and communities through thoughtful design and sustainable practices.""}","PrimaryPark St. East, B3, Office 3006, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
352,"{""ar"": ""نيو جيزة للتطوير العقاري"", ""en"": ""NEWGIZA for Real Estate and Development""}",NULL,https://www.newgiza.com,https://www.facebook.com/NEWGIZAegy/,https://instagram.com/newgizaegypt,https://eg.linkedin.com/company/newgiza-hr,+20 16656,"{""ar"": ""نيو جيزة هي مطور عقاري بارز في مصر، معروفة بإنشاء مجتمعات راقية متكاملة وواسعة النطاق. يقع مشروعها الرائد، الممتد على مساحة تزيد عن 1500 فدان في منطقة 6 أكتوبر بالقرب من القاهرة، ويهدف إلى توفير أنماط حياة وآفاق جديدة. تركز الشركة على بناء أحياء متكاملة الخدمات، حيث تشمل مشاريعها مناطق سكنية وتجارية متعددة ومتميزة."", ""en"": ""NEWGIZA is a prominent real estate developer in Egypt, known for creating large-scale, integrated upscale communities. Its flagship development, spanning over 1,500 acres in the 6th of October district near Cairo, aims to offer new lifestyles and horizons. The company focuses on building full-service neighborhoods, with its projects encompassing multiple distinct residential and commercial areas.""}","KM 22 Cairo-Alex Road, New Giza, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,11
355,"{""ar"": ""ذى جي ديفيلوبمنتس"", ""en"": ""The G Developments""}",NULL,https://www.pc-thegdevelopments.com/,https://www.facebook.com/people/The-G-Developments/61572584623248/,https://www.instagram.com/the.g.developments/,NULL,+20 1149458885,"{""ar"": ""ذا جي ديفلوبمنتس هي مطور عقاري فاخر ورائد في مصر. نشأت الشركة من مجتمع نيو جيزة الشهير ووسعت عملياتها منذ ذلك الحين. تتولى الآن مشاريع مخطط لها بعناية عبر شرق القاهرة والساحل الشمالي، بما في ذلك تطويرات بارزة مثل نيو كايرو وسيشيل رأس الحكمة."", ""en"": ""The G Developments is a leading luxury real estate developer based in Egypt. The company originated from the celebrated New Giza community and has since expanded its operations. They now undertake master-planned projects across East Cairo and the North Coast, including notable developments like New Kairo and Seashell Ras El Hekma.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,11
358,"{""ar"": ""جويا ريال استيت"", ""en"": ""Joya Real Estate""}",2012,https://joyareal-estate.com/,https://www.facebook.com/p/Joya-real-estate-61557983228398/,NULL,NULL,+20 10 97051914,"{""ar"": ""شركة جويا ريال استيت تعمل في قطاع العقارات بمنطقة البحر الأحمر في مصر، متخصصة في تطوير وبيع الوحدات السكنية. تأسست في 2012 وتركز على تقديم وحدات سكنية ذات جودة بأسعار تنافسية وتدير مشاريع مثل Aqua Palms وAl-Khayam Apartment وJoya Resort. توفر الشركة خدمات البيع وخدمة ما بعد البيع عبر موقعها الإلكتروني وصفحتها على فيسبوك، ويمكن التواصل معها هاتفياً أو عبر البريد الإلكتروني للاستفسارات."", ""en"": ""Joya Real Estate is an Egyptian property company active in the Red Sea region that develops and sells residential units. Founded in 2012, the firm focuses on delivering quality homes at competitive prices and operates projects including Aqua Palms, Al-Khayam Apartment and Joya Resort. Joya provides sales and client support through its website and Facebook page and can be contacted by phone or email for enquiries.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,3
359,"{""ar"": ""فيرست جروب"", ""en"": ""First Group""}",2002,https://firstgroup-egypt.com/,https://www.facebook.com/firstgroupegy,https://www.instagram.com/first_group_egy/,https://www.linkedin.com/company/first-group-egypt,+020 02333 70680,"{""ar"": ""تُعَدّ شركة فيرست جروب مطورًا عقاريًا مصريًا ومقره المهندسين، الجيزة، متخصّصًا في إنشاء مجتمعات سكنية وتجارية متكاملة في مواقع استراتيجية. منذ أوائل الألفية ركزت الشركة على تنفيذ مشاريع مثل كنز، سيلفا، كازان بلازا وكايا بلازا مع الالتزام بجودة التصميم وإدارة الممرافق على المدى الطويل. تؤكّد الشركة على مبادئ الشفافية وتجربة العميل وتحقيق قيمة استثمارية لأصحاب المصلحة."", ""en"": ""First Group is an Egyptian real estate developer headquartered in Mohandeseen, Giza, delivering integrated residential and commercial communities across strategic locations. Since the early 2000s it has executed projects such as Kenz Compound, Silva Compound, Kazan Plaza and Kaya Plaza with a focus on design quality and long-term facility management. The company emphasizes transparency, customer experience and value-for-investors in its developments.""}","65 Gameat Al Dewal Al Arabeya St. Mohandeeseen, Giza",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
362,"{""ar"": ""ميرث للتطوير"", ""en"": ""Merath Developments""}",2000,https://www.merathdevelopments.com/,NULL,NULL,https://www.linkedin.com/company/merathdevelopmentseg,1111378339,"{""ar"": ""تأسست شركة ميرث للتطوير العقاري في عام 2000، وبدأت عملياتها كشركة مقاولات إنشائية شاركت في مشاريع ضخمة مثل سيتي ستارز وميناء دمياط الجديد. توسعت الشركة لاحقًا لتشمل إدارة المشاريع والاستثمارات العقارية. تُعد ميرث للتطوير العقاري اليوم من الشركات الرائدة والمتميزة في مجال العقارات بمصر."", ""en"": ""Merath Developments was established in 2000, initially operating as a construction contracting company involved in major projects like City Stars Shopping Mall and Damiettas new port. The company later expanded its operations to include project management and real estate investments. Today, Merath Developments is recognized as a leading and distinguished real estate company in Egypt.""}","EL Sheikh zayed city, Giza",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
364,"{""ar"": ""ماك ديفلوبمنت"", ""en"": ""Mak Development""}",2020,https://mak-developments.com/,https://www.facebook.com/MAKDevelopments.official,NULL,https://www.linkedin.com/company/mak-developments,2.01E+11,"{""ar"": ""تأسست شركة ماك ديفلوبمنت في عام 2020، وهي شركة عقارية حققت نجاحًا ملحوظًا في تطوير المشاريع السكنية والتجارية. تهدف الشركة إلى تلبية احتياجات السوق المتنوعة وتقديم خدمة عملاء متميزة في القطاع العقاري. وتُعرف الشركة بأنها المطور لمجمعات لايت سيتي الواقعة في القاهرة الجديدة، ومدينة 6 أكتوبر، والعاصمة الإدارية الجديدة."", ""en"": ""MAK Development, established in 2020, is a real estate company that has achieved significant success in developing residential and commercial projects. The company aims to meet diverse market needs and provide exceptional customer service in the real estate sector. They are recognized as the developer behind the Light City compounds located in New Cairo, 6th of October, and the New Administrative Capital.""}",30 st. Nehro-Helioples,0,0,1,0,NULL,1/10/2026 12:38,NULL,5
366,"{""ar"": ""إيه كابيتال هولدينج"", ""en"": ""A Capital Holding""}",2023,https://www.acapitalholding.com,https://www.facebook.com/p/A-Capital-Holding-61556126105320/,NULL,https://www.linkedin.com/company/a-capital-holding,+20 19306,"{""ar"": ""شركة إيه كابيتال هولدينج هي شركة استثمار وتطوير عقاري مقرها القاهرة تتخصص في الوحدات السكنية ذات العلامة التجارية ونمط المعيشة المستوحى من الفنادق، وتنفذ مجتمعات سكنية فندقية فاخرة مثل Marriott Residences Heliopolis. تتعاون الشركة مع مشغلين ومكاتب تصميم دوليين لابتكار وجهات سكنية خدمية مترفة تجمع بين مرافق عالمية المستوى ومعايير الضيافة. تأسست في 2023 وتولي إيه كابيتال اهتمامًا بالشفافية تجاه المستثمرين والاستدامة وابتكار وجهات حضرية متميزة."", ""en"": ""A Capital Holding is a Cairo-based real estate investment and development firm that specialises in branded residences and hotel-inspired living, delivering premium hospitality-led communities such as Marriott Residences Heliopolis. The company partners with international operators and design firms to create luxury, service-oriented residential destinations that combine world-class amenities with hospitality standards. Founded in 2023, A Capital emphasises investor transparency, sustainability, and the creation of distinctive urban destinations.""}","101 El Moltaqa El Araby St. Off El Moshir Ahmed Ismail St, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
368,"{""ar"": ""نواسي ديفيلوبمنتس"", ""en"": ""Nawassy Developments""}",2022,https://landing.nawassy.com/,https://www.facebook.com/Nawassy.Developments/,https://instagram.com/nawassydevelopments,https://www.linkedin.com/company/nawassy-developments/,20215432,"{""ar"": ""شركة نواسي ديفيلوبمنتس مطور عقاري مصري تأسست من خلال اندماج استراتيجي مع شركة مصر للإنشاءات (ENCO)، وتعمل على تنفيذ مشاريع سكنية وتجارية متكاملة عبر مصر. تطور الشركة مشاريع مثل Nest New Cairo و3 Sides Shopping Mall بالتعاون مع شركاء استراتيجيين مثل حسن علام، مع فريق داخلي متعدد التخصصات لضمان تنفيذ مواقع ومرافق متميزة. تركز نواسي على التصميم المستدام والتشطيبات عالية الجودة والمجتمعات ذات الخدمات المتكاملة لرفع قيمة الاستثمار وتحسين مستوى المعيشة."", ""en"": ""Nawassy Developments is an Egyptian real-estate developer formed through a strategic merger with Misr for Construction (ENCO) that delivers integrated residential and commercial schemes across Egypt. The company builds projects such as Nest New Cairo and the 3 Sides Shopping Mall, combining an in-house multidisciplinary team with strategic partners like Hassan Allam to deliver premium locations and amenities. Nawassy emphasizes sustainable design, high-quality finishes and amenity-rich communities to maximize investment value and enhance residents’ lifestyles.""}","Cairo Business Park El Nasr, Second New Cairo, new cairo 11511, EG",1,1,1,0,NULL,1/10/2026 12:38,NULL,2
370,"{""ar"": ""نيو بارك"", ""en"": ""New Park""}",NULL,https://newparkdevelopment.com,https://www.facebook.com/newparkdevelopment/,https://www.instagram.com/newparkdevelopment/,NULL,17385,"{""ar"": ""نيو بارك للتطوير العقاري، ومقرها الشيخ زايد، متخصصة في إنشاء المجمعات السكنية المصغرة الراقية. تعمل الشركة حاليًا على تطوير مشاريع متميزة، بما في ذلك مشروع يمتد على مساحة فدانين ويضم 24 وحدة سكنية موزعة على أربعة مبانٍ، ومصمم خصيصًا للعملاء الأفراد. تهدف نيو بارك إلى توفير نمط حياة عصري وميسور التكلفة من خلال التسويق الذكي والخدمة الموثوقة وخطط السداد المرنة."", ""en"": ""New Park Real Estate Development, based in Sheikh Zayed, specializes in creating upscale residential mini-compounds. The company is currently developing premium projects, including one over 2 feddans with 24 units across four buildings, tailored for B2C clients. New Park aims to provide accessible, modern living through smart marketing, trusted service, and flexible payment plans.""}",Zayed Dunes Mall A – in front of the American International School (AIS),0,0,1,0,NULL,1/10/2026 12:38,NULL,2
371,"{""ar"": ""فينسيا للتطوير العقاري"", ""en"": ""Venesia Developments""}",2020,https://venesia-developments.com,https://www.facebook.com/Venesia.Developments,https://www.instagram.com/venesiadevelopments,NULL,2.01E+11,"{""ar"": ""تتخصص فينسيا للتطوير العقاري في تحويل تطلعاتكم العقارية إلى واقع ملموس من خلال توجيهاتنا الخبيرة وخدماتنا الشخصية. بدأت رحلة الشركة في القطاع العقاري قبل عقدين من الزمن، حيث أقامت تحالفات استراتيجية مع كبرى الشركات في مناطق مصرية رئيسية مثل القاهرة الجديدة والعاصمة الإدارية الجديدة. ومنذ تأسيسها الرسمي قبل ست سنوات، التزمت فينسيا للتطوير العقاري برسالتها في تقديم مشاريع استثنائية."", ""en"": ""Venesia Developments specializes in transforming real estate aspirations into reality through expert guidance and personalized service. The companys journey in the real estate sector began two decades ago, leading to strategic alliances with major firms in key Egyptian regions like New Cairo and the New Administrative Capital. Since its formal establishment six years ago, Venesia Real Estate Development has been committed to its mission of delivering exceptional projects.""}",شارع 12، القاهرة الجديدة 1، محافظة القاهرة,0,0,1,0,NULL,1/10/2026 12:38,NULL,1
372,"{""ar"": ""المصرية الكويتية للتطوير العقاري"", ""en"": ""Egyptian Kuwaiti Real Estate Development""}",1978,http://www.ekred.com,NULL,NULL,https://www.linkedin.com/company/ekred/,1003328025,"{""ar"": ""المصرية الكويتية للتطوير العقاري (EKRED) هي ذراع عقاري بارز لسيف هيكل، متخصصة في إنشاء وإدارة مشاريع عقارية وسياحية متنوعة. تأسست الشركة عام 1978، ولديها تاريخ غني، حيث قامت بتطوير أكثر من 20 مشروعًا كمطور وأكثر من 40 مشروعًا كمقاول. تشمل مشاريع EKRED قطاعات مختلفة، بما في ذلك المشاريع السكنية والتجارية والترفيهية والتعليمية والعلاجية والسياحية، مع مشاريع بارزة مثل ذا فيو في الغردقة ومرسى علم."", ""en"": ""Egyptian Kuwaiti Real Estate Development (EKRED) is a prominent real estate arm of Seif Heikal, specializing in the establishment and management of diverse real estate and tourism projects. The company has a rich history, having been founded in 1978, and boasts a portfolio that includes over 20 projects as a developer and more than 40 as a contractor. EKREDs developments span various sectors, encompassing residential, commercial, recreational, educational, therapeutic, and tourism ventures, with notable projects like The View in Hurghada and Marsa Alam.""}","Nasr City, Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,2
374,"{""ar"": ""ريفلكت ديفلوبمنتس"", ""en"": ""Reflect Developments""}",NULL,https://reflect-eg.com/,https://www.facebook.com/reflectdev/,NULL,https://eg.linkedin.com/company/reflectdev,15990,"{""ar"": ""ريفلكت ديفلوبمنتس هي شركة عقارية رائدة ملتزمة بإنشاء عقارات استثنائية ومبتكرة ومستدامة تعيد تعريف الحياة العصرية. تأسست الشركة على يد أربعة خبراء متمرسين في العقارات المصرية، وهي ملتزمة بالنزاهة والشفافية والتميز في كل جانب من جوانب عملها. مدفوعة بشغف الابتكار والاستدامة، تهدف ريفلكت ديفلوبمنتس إلى تشكيل مستقبل العقارات من خلال مزج التصميم المتطور مع الممارسات الصديقة للبيئة."", ""en"": ""Reflect Developments is a forward-thinking real estate company dedicated to creating exceptional, innovative, and sustainable properties that redefine modern living. Founded by four seasoned experts in Egyptian real estate, the company is committed to integrity, transparency, and excellence in every aspect of its work. Driven by a passion for innovation and sustainability, Reflect Developments aims to shape the future of real estate by blending cutting-edge design with environmentally friendly practices.""}","Abdel Monem Riyad, Obour, Qalyubia Governorate 6361102",1,4,1,0,NULL,1/10/2026 12:38,NULL,5
376,"{""ar"": ""فور يو ديفيلوبمنت"", ""en"": ""Four U Development""}",2002,https://fud-eg.com/,https://www.facebook.com/fourudevelopment,https://www.instagram.com/fourudevelopment/,https://www.linkedin.com/company/four-u-development/,16896,"{""ar"": ""فور يو ديفيلوبمنت شركة مصرية متخصّصة في التطوير العقاري تركز على إنشاء مجتمعات سكنية متكاملة ومجمعات توفر أنماط حياة متوازنة. تأسست عام 2002، وتدير الشركة سلسلة القيمة كاملة من التطوير والتمويل والتسويق والمبيعات وخدمات العملاء. تتضمن محفظتها المنشورة مشروعات مثل First District وSecond District وFourth District وFifth District وSixth District ومشروع O|Kardia."", ""en"": ""Four U Development is an Egyptian real-estate developer focused on creating integrated residential communities and lifestyle compounds. Founded in 2002, the company manages end-to-end delivery across development, financing, marketing, sales and customer care. Its published portfolio includes First District, Second District, Fourth District, Fifth District, Sixth District and the O|Kardia compound.""}",21 Menof St . Heliopolis - Cairo (Head Office),0,0,1,0,NULL,1/10/2026 12:38,NULL,6
